	code	name	market_cap	weight
622		优博讯		0.065
623		冰川网络		0.038
624		贝达药业		0.227
625		精测电子		0.167
626		星源材质		0.1
627		欧普康视		0.132
628		康泰生物		0.454
629		飞荣达		0.089
630		拓斯达		0.066
631		富瀚微		0.037
632		尚品宅配		0.177
633		寒锐钴业		0.115
634		万兴科技		0.037
635		三雄极光		0.046
636		亿联网络		0.221
637		普利制药		0.139
638		开立医疗		0.06
639		彩讯股份		0.031
640		江苏雷利		0.033
641		圣邦股份		0.075
642		鹏鹞环保		0.027
643		江丰电子		0.099
644		电连技术		0.077
645		朗新科技		0.049
646		艾德生物		0.1
647		光威复材		0.16
648		药石科技		0.082
649		宏达电子		0.023
650		光弘科技		0.067
651		科顺股份		0.048
652		华宝股份		0.071
653		锐科激光		0.168
654		皖通高速		0.06
655		中原高速		0.148
656		福建高速		0.117
657		楚天高速		0.065
658		黄山旅游		0.077
659		万东医疗		0.091
660		厦门象屿		0.135
661		古越龙山		0.099
662		皖维高新		0.116
663		冠城大通		0.131
664		银鸽投资		0.073
665		中船科技		0.167
666		新疆天业		0.089
667		康欣新材		0.106
668		中葡股份		0.056
669		同济堂		0.091
670		易见股份		0.165
671		云天化		0.098
672		青山纸业		0.073
673		永鼎股份		0.12
674		重庆路桥		0.086
675		亚盛集团		0.151
676		诺德股份		0.14
677		东睦股份		0.091
678		三峡水利		0.144
679		兰花科创		0.139
680		太极集团		0.078
681		波导股份		0.085
682		重庆啤酒		0.215
683		东湖高新		0.093
684		当代明诚		0.079
685		商赢环球		0.081
686		香江控股		0.119
687		新日恒力		0.054
688		黄河旋风		0.113
689		卧龙地产		0.056
690		美都能源		0.142
691		瑞茂通		0.079
692		格力地产		0.168
693		伊力特		0.143
694		江苏吴中		0.137
695		有研新材		0.141
696		安彩高科		0.046
697		紫江企业		0.141
698		西藏药业		0.093
699		中再资环		0.108
700		瀚叶股份		0.166
701		圣济堂		0.119
702		沧州大化		0.123
703		凌钢股份		0.073
704		云南城投		0.119
705		万通地产		0.071
706		中恒集团		0.23
707		梦舟股份		0.11
708		阳光照明		0.086
709		赣粤高速		0.133
710		嘉化能源		0.282
711		东方创业		0.089
712		重庆港九		0.068
713		钱江水利		0.049
714		羚锐制药		0.104
715		华仪电气		0.064
716		鄂尔多斯		0.057
717		维维股份		0.088
718		曙光股份		0.062
719		恒顺醋业		0.162
720		华泰股份		0.121
721		桂东电力		0.056
722		新力金融		0.077
723		振华重工		0.209
724		天房发展		0.081
725		瀚蓝环境		0.2
726		西藏天路		0.152
727		天通股份		0.174
728		宏达股份		0.136
729		美克家居		0.166
730		航天动力		0.106
731		华微电子		0.108
732		联创光电		0.093
733		青海春天		0.047
734		广东明珠		0.071
735		航发科技		0.098
736		红豆股份		0.108
737		现代制药		0.108
738		昆药集团		0.142
739		金证股份		0.306
740		宁夏建材		0.069
741		宝钛股份		0.129
742		贵研铂业		0.123
743		好当家		0.064
744		杭萧钢构		0.128
745		凌云股份		0.085
746		扬农化工		0.259
747		鹏欣资源		0.187
748		龙元建设		0.127
749		晋西车轴		0.114
750		航天晨光		0.06
751		安徽水利		0.132
752		上海能源		0.078
753		腾达建设		0.112
754		贵航股份		0.061
755		菲达环保		0.042
756		山东药玻		0.191
757		豫光金铅		0.097
758		栖霞建设		0.061
759		山煤国际		0.106
760		保变电气		0.093
761		凯盛科技		0.075
762		老白干酒		0.156
763		国睿科技		0.171
764		中珠医疗		0.082
765		安阳钢铁		0.088
766		信雅达		0.096
767		精达股份		0.123
768		八一钢铁		0.095
769		泰豪科技		0.096
770		中孚实业		0.062
771		新安股份		0.2
772		云赛智联		0.129
773		市北高新		0.255
774		老凤祥		0.142
775		金枫酒业		0.056
776		海立股份		0.056
777		华鑫股份		0.169
778		光大嘉宝		0.151
779		复旦复华		0.146
780		申达股份		0.08
781		龙头股份		0.07
782		新黄浦		0.07
783		万业企业		0.157
784		锦江投资		0.059
785		游久游戏		0.053
786		昂立教育		0.066
787		强生控股		0.086
788		太极实业		0.161
789		尖峰集团		0.125
790		中华企业		0.251
